Date,NO,NO2,PM10,PM2.5,CO2,TEMP,HUMI
2022-07-19,24.043200263856633,52.557115514377664,366.5,135.41666666666666,732.2916666666666,30.416666666666668,34.75
2022-07-20,24.731275362802872,42.194688830063335,268.4583333333333,109.375,651.8881248782235,29.583333333333332,48.208333333333336
2022-07-21,20.73089196350538,36.5,218.875,87.5,591.2083333333334,28.833333333333332,46.25
2022-07-22,21.77140843227957,39.708333333333336,222.75,88.91666666666667,570.125,28.583333333333332,48.583333333333336
2022-07-23,33.83525032982079,34.875,218.66666666666666,87.41666666666667,558.4583333333334,28.5,49.375
2022-07-24,40.08716732630825,32.458333333333336,222.125,86.5,530.5,28.666666666666668,43.166666666666664
2022-07-25,13.834100131928317,33.583333333333336,265.875,103.125,596.25,28.958333333333332,41.708333333333336
2022-07-26,17.854741765612903,33.25,203.54166666666666,76.625,561.0,28.25,39.416666666666664
2022-07-27,32.87576679859498,38.875,235.45833333333334,90.08333333333333,580.2083333333334,28.0,36.833333333333336
2022-07-28,14.563458498243728,40.083333333333336,242.875,86.25,629.0833333333334,28.083333333333332,32.0
2022-07-29,20.522175230874556,46.291666666666664,207.83333333333334,77.95833333333333,550.2693736604581,28.208333333333332,32.416666666666664
2022-07-30,34.48242556069535,37.666666666666664,234.04166666666666,90.875,540.314997077363,28.5,36.083333333333336
2022-07-31,30.690375494731185,26.041666666666668,185.29166666666666,72.16666666666667,540.314997077363,28.458333333333332,43.666666666666664
2022-08-01,11.188075098946237,28.583333333333332,199.08333333333334,73.70833333333333,540.314997077363,28.541666666666668,44.916666666666664
2022-08-02,37.29511726034409,39.655897695422,234.45833333333334,79.5,540.314997077363,28.666666666666668,42.333333333333336
2022-08-03,43.29550065964158,48.082262145749006,284.6831660685835,91.65751818419476,540.314997077363,28.958333333333332,43.583333333333336
2022-08-04,24.0848669305233,26.791666666666668,267.9583333333333,97.54166666666667,540.314997077363,28.583333333333332,48.5
2022-08-05,12.313075098946237,31.948635549673,249.43316606858352,97.82418485086141,561.581041301337,27.875,43.625
2022-08-06,9.583333333333334,29.416666666666668,192.16666666666666,70.625,529.3333333333334,27.208333333333332,29.833333333333332
2022-08-07,3.4583333333333335,26.583333333333332,182.875,73.08333333333333,488.875,26.916666666666668,31.291666666666668
2022-08-08,17.272175230874556,30.5,231.375,81.75,535.8333333333334,26.833333333333332,34.5
